state,legyear,unionmem,unemploylag1,firmslag
ID,2015,46,4.3,4584
ID,2016,42,3.1,4692
ID,2017,42,4,4692
IL,2000,1049,4.2,2904
IL,2001,1013,4.2,2932
IL,2002,1069,4.8,2897
IL,2003,967,6.3,2796
IL,2004,908,6.6,2794
IL,2005,927,6.4,2787
IL,2006,931,6,2834
IL,2007,842,5.1,2884
IL,2008,939,4.6,2934
IL,2009,951,5.5,2953
IL,2010,844,8.5,2893
IL,2011,876,11.2,2911
IL,2012,801,9.4,2977
IL,2013,851,9.1,3007
IL,2014,831,9.2,3092
IL,2015,847,8.2,3133
IL,2016,812,6,3180
IL,2017,812,6.1,3180
IN,2000,420,3,1659
IN,2001,401,3.2,1670
IN,2002,376,3.3,1633
IN,2003,327,5.4,1602
IN,2004,311,5,1599
IN,2005,346,5.2,1614
IN,2006,334,5.6,1641
IN,2007,333,5.1,1700
IN,2008,349,4.8,1736
IN,2009,277,4.8,1781
IN,2010,279,9,1754
IN,2011,302,10.9,1769
IN,2012,246,9.1,1802
IN,2013,249,8.6,1808
IN,2014,299,8.4,1832
IN,2015,283,6.2,1870
IN,2016,304,5.4,1916
IN,2017,304,4.7,1916
KS,2000,107,3.3,1959
KS,2001,109,3.4,1928
KS,2002,100,3.9,1923
KS,2003,96,4.9,1867
KS,2004,103,5.1,1825
KS,2005,85,5.7,1821
KS,2006,99,5.3,1834
KS,2007,89,4.6,1897
KS,2008,89,4.3,1945
KS,2009,77,4.3,1979
KS,2010,84,5.8,1970
KS,2011,97,7.2,1997
KS,2012,85,6.9,2028
KS,2013,94,6,2054
KS,2014,95,5.5,2073
KS,2015,110,4.7,2117
KS,2016,109,4.3,2183
KS,2017,109,4.1,2183
KY,2000,209,4.6,2204
KY,2001,186,4.1,2213
KY,2002,165,4.5,2195
KY,2003,175,5.9,2121
KY,2004,164,6,2125
KY,2005,164,5.7,2120
KY,2006,172,5.4,2148
KY,2007,157,6,2207
KY,2008,146,5.6,2286
KY,2009,142,5.5,2335
KY,2010,147,9.1,2306
KY,2011,150,10.6,2324
KY,2012,174,9.8,2366
KY,2013,194,8.4,2382
KY,2014,189,8.1,2414
KY,2015,187,7.5,2450
KY,2016,190,5.3,2492
KY,2017,190,5.3,2492
LA,2000,123,5.2,2096
LA,2001,133,5.1,2100
LA,2002,138,5.8,2082
LA,2003,109,6.2,1991
LA,2004,129,6.3,1966
LA,2005,114,5.9,1978
LA,2006,107,5.8,1990
LA,2007,94,6.2,2039
LA,2008,80,4.3,2095
LA,2009,99,4.3,2113
LA,2010,76,6.1,2138
LA,2011,77,7.5,2131
LA,2012,107,8.2,2161
LA,2013,75,7.4,2173
LA,2014,96,6.9,2194
LA,2015,107,5.5,2237
LA,2016,76,6.8,2299
LA,2017,76,6.2,2299
MA,2000,414,3.2,850
MA,2001,433,3,864
MA,2002,427,2.9,881
MA,2003,416,4.8,868
MA,2004,393,5.6,875
MA,2005,402,5.5,882
MA,2006,414,4.9,885
MA,2007,379,4.9,916
MA,2008,458,4.8,938
MA,2009,476,4.7,980
MA,2010,415,7.2,983
MA,2011,422,8.8,1005
MA,2012,417,7.7,1013
MA,2013,401,6.7,1009
MA,2014,415,6.7,1049
MA,2015,402,6.1,1067
MA,2016,381,5.1,1098
MA,2017,381,4.3,1098
MD,2000,353,3.8,2555
MD,2001,325,3.4,2610
MD,2002,354,3.6,2614
MD,2003,354,4.6,2550
MD,2004,272,4.4,2562
MD,2005,337,4.3,2548
MD,2006,342,4.3,2568
MD,2007,335,3.7,2602
MD,2008,329,3.7,2659
MD,2009,323,3.4,2699
MD,2010,296,6.2,2646
MD,2011,316,7.7,2666
MD,2012,280,7.3,2709
MD,2013,308,6.9,2721
MD,2014,310,6.8,2745
MD,2015,287,6,2788
MD,2016,310,5.4,2827
MD,2017,310,4.6,2827
ME,2000,77,4.1,2924
ME,2001,75,3.6,2966
ME,2002,75,3.3,2991
ME,2003,73,4.1,2889
ME,2004,64,4.8,2849
ME,2005,69,4.8,2848
ME,2006,69,4.9,2884
ME,2007,67,4.5,2912
ME,2008,71,4.5,2984
ME,2009,63,4.8,2997
ME,2010,63,7.4,2966
ME,2011,63,8.2,2974
ME,2012,64,8.1,3024
ME,2013,64,7.7,3021
ME,2014,62,7.1,3114
