state,datayeardef,legyear,deficitlag1
ID,2015,2016,-783181.473
ID,2016,2017,-404079
IL,2002,2003,6235821.095
IL,2003,2004,6327828.105
IL,2004,2005,3393775.651
IL,2005,2006,1731283.834
IL,2006,2007,139544.5438
IL,2007,2008,1511259.876
IL,2008,2009,4140509.47
IL,2009,2010,7661413.991
IL,2010,2011,10664779.87
IL,2011,2012,6249283.873
IL,2012,2013,2519430.26
IL,2013,2014,80012.54463
IL,2014,2015,417714.7407
IL,2015,2016,3398437.58
IL,2016,2017,5762004
IN,2002,2003,1013929.757
IN,2003,2004,243903.6563
IN,2004,2005,874761.2258
IN,2005,2006,597734.7079
IN,2006,2007,-6276638.42
IN,2007,2008,-489983.2547
IN,2008,2009,-800979.201
IN,2009,2010,614289.6879
IN,2010,2011,1195093.054
IN,2011,2012,-975247.1165
IN,2012,2013,-487470.024
IN,2013,2014,-895399.7645
IN,2014,2015,-2295003.232
IN,2015,2016,-1899463.65
IN,2016,2017,94984
IA,2002,2003,-419401.3679
IA,2003,2004,-364206.046
IA,2004,2005,-501134.1471
IA,2005,2006,-538305.9588
IA,2006,2007,-674178.5724
IA,2007,2008,-759569.2218
IA,2008,2009,-488795.1161
IA,2009,2010,263452.7497
IA,2010,2011,-548380.9196
IA,2011,2012,-886432.0097
IA,2012,2013,-965541.0657
IA,2013,2014,-1177372.104
IA,2014,2015,-794296.9347
IA,2015,2016,-565621.7241
IA,2016,2017,-571097
KS,2002,2003,424499.1784
KS,2003,2004,17474.54224
KS,2004,2005,411046.4219
KS,2005,2006,-706158.5024
KS,2006,2007,-536883.155
KS,2007,2008,-682042.6527
KS,2008,2009,-19430.12083
KS,2009,2010,499936.9828
KS,2010,2011,-21515.90396
KS,2011,2012,-618846.7623
KS,2012,2013,-551586.6287
KS,2013,2014,-579178.3164
KS,2014,2015,-80628.10452
KS,2015,2016,223314.1619
KS,2016,2017,822675
KY,2002,2003,-253841.0939
KY,2003,2004,-989493.5458
KY,2004,2005,-388689.8333
KY,2005,2006,-1122330.533
KY,2006,2007,-778197.7301
KY,2007,2008,580805.9795
KY,2008,2009,1479191.335
KY,2009,2010,2091501.719
KY,2010,2011,1604069.144
KY,2011,2012,561007.0483
KY,2012,2013,841150.6805
KY,2013,2014,112673.4696
KY,2014,2015,453130.6231
KY,2015,2016,-547363.9705
KY,2016,2017,553604
LA,2002,2003,-2483381.837
