,state,statenum,legyear,percent5,Rperc,marginshift,rmarginshift,minwage,standmin,marginshift.10,rmarginshift.10,tax,standtax,standtaxlag1,indtax,taxdrop,labor,gverif,policy,landuse,occ,ocourts2,Frtp,frps,frent,findex,knpindex,kpacs,nlabel,nprice,nunfair,banstate,bancorp,bancorpunion,deepsouth,postcit
1884,NE,17,2001,NA,NA,NA,NA,5.15,0.702898551,NA,NA,-7.81,0.349166667,0.349166667,6.68,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1885,NE,17,2002,NA,NA,NA,NA,5.15,0.702898551,NA,NA,-7.81,0.349166667,0.349166667,6.68,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1886,NE,17,2003,NA,NA,NA,NA,5.15,0.702898551,NA,NA,-7.81,0.349166667,0.349166667,6.68,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1887,NE,17,2004,NA,NA,NA,NA,5.15,0.702898551,NA,NA,-7.81,0.349166667,0.349166667,6.84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1888,NE,17,2005,NA,NA,NA,NA,5.15,0.702898551,NA,NA,-7.81,0.349166667,0.349166667,6.84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1889,NE,17,2006,NA,NA,NA,NA,5.15,0.702898551,NA,NA,-7.81,0.349166667,0.349166667,6.84,0,0.640743257,0,0.578244524,0.683997351,0.416666667,3.101062,1,0,0,1,0,1,0,0,0,0,0,0,0,0
1890,NE,17,2007,NA,NA,NA,NA,5.85,0.601449275,NA,NA,-7.81,0.349166667,0.349166667,6.84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1891,NE,17,2008,NA,NA,NA,NA,6.55,0.5,NA,NA,-7.81,0.349166667,0.349166667,6.84,0,0.680006209,0,0.66770001,0.43669093,0.5,3.028399,1,0,0,1,0,1,0,0,0,0,0,0,0,0
1892,NE,17,2009,NA,NA,NA,NA,7.25,0.398550725,NA,NA,-7.81,0.349166667,0.349166667,6.84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1893,NE,17,2010,NA,NA,NA,NA,7.25,0.398550725,NA,NA,-7.81,0.349166667,0.349166667,6.8,0,0.680006209,0,0.738103537,0.43669093,0.5,3.149783,1,0,0,1,0,1,0,0,0,0,0,0,0,1
1894,NE,17,2011,NA,NA,NA,NA,7.25,0.398550725,NA,NA,-7.81,0.349166667,0.349166667,6.84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1
1895,NE,17,2012,NA,NA,NA,NA,7.25,0.398550725,NA,NA,-7.81,0.349166667,0.349166667,6.84,0,0.680006209,0,0.74032414,0.43669093,0.5,3.39712,1,0,0,1,0,1,0,0,0,0,0,0,0,1
1896,NE,17,2013,NA,NA,NA,NA,7.25,0.398550725,NA,NA,-7.81,0.349166667,0.349166667,6.84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1
1897,NE,17,2014,NA,NA,NA,NA,7.25,0.398550725,NA,NA,-7.81,0.349166667,0.349166667,6.84,0,0.637788468,0,0.741048165,0.43669093,0.5,3.477764,1,0,0,1,0,1,0,0,0,0,0,0,0,1
1898,NE,17,2015,NA,NA,NA,NA,8,0.289855072,NA,NA,-7.81,0.349166667,0.349166667,6.84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1
1899,NE,17,2016,NA,NA,NA,NA,9,0.144927536,NA,NA,-7.81,0.349166667,0.349166667,6.84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1
1900,NE,17,2017,NA,NA,NA,NA,NA,NA,NA,NA,-7.81,0.349166667,0.349166667,6.84,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1
1027,NH,40,1980,NA,NA,NA,NA,3.1,1,0.039990613,0.039990613,NA,NA,0.349166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
1028,NH,40,1981,NA,NA,NA,NA,3.35,0.963768116,0.039990613,0.039990613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
