state,legyear,house,sen,dwnom,dwnomfull
CO,2011,-0.328,-0.753,-0.5405,-0.5405
CO,2012,-0.006,-0.767,-0.3865,-0.3865
CO,2013,-1.177,-0.741,-0.959,-0.959
CO,2014,-1.008,-0.528,-0.768,-0.768
CO,2015,-1.008,-0.528,-0.768,-0.768
CO,2016,-1.008,-0.528,-0.768,-0.768
CO,2017,-1.008,-0.528,-0.768,-0.768
CT,1993,,,,-0.449
CT,1994,,,,-0.449
CT,1995,,,,-0.449
CT,1996,-0.877,-0.021,-0.449,-0.449
CT,1997,-0.912,-0.922,-0.917,-0.917
CT,1998,-0.914,-0.922,-0.918,-0.918
CT,1999,-0.939,-0.922,-0.9305,-0.9305
CT,2000,-0.939,-0.922,-0.9305,-0.9305
CT,2001,-0.945,-1.013,-0.979,-0.979
CT,2002,-0.948,-1.013,-0.9805,-0.9805
CT,2003,-0.937,-1.092,-1.0145,-1.0145
CT,2004,-0.944,-1.092,-1.018,-1.018
CT,2005,-0.976,-1.093,-1.0345,-1.0345
CT,2006,-0.981,-1.092,-1.0365,-1.0365
CT,2007,-1.017,-1.084,-1.0505,-1.0505
CT,2008,-1.017,-1.074,-1.0455,-1.0455
CT,2009,,,,-1.0455
CT,2010,,-1.087,-1.087,-1.087
CT,2011,-1.013,-1.048,-1.0305,-1.0305
CT,2012,-1.013,-1.048,-1.0305,-1.0305
CT,2013,-1.01,-1.025,-1.0175,-1.0175
CT,2014,-1.009,-1.025,-1.017,-1.017
CT,2015,-1.009,-1.025,-1.017,-1.017
CT,2016,-1.009,-1.025,-1.017,-1.017
CT,2017,-1.009,-1.025,-1.017,-1.017
DE,1993,,,,-0.214
DE,1994,,,,-0.214
DE,1995,-0.11,-0.318,-0.214,-0.214
DE,1996,-0.11,-0.318,-0.214,-0.214
DE,1997,-0.103,-0.318,-0.2105,-0.2105
DE,1998,-0.103,-0.318,-0.2105,-0.2105
DE,1999,-0.103,-0.318,-0.2105,-0.2105
DE,2000,-0.103,-0.318,-0.2105,-0.2105
DE,2001,-0.041,-0.318,-0.1795,-0.1795
DE,2002,-0.041,-0.318,-0.1795,-0.1795
DE,2003,0,-0.25,-0.125,-0.125
DE,2004,0,-0.25,-0.125,-0.125
DE,2005,-0.024,-0.25,-0.137,-0.137
