state,legyear,house,sen,dwnom,dwnomfull
MS,2001,0.144,0.519,0.3315,0.3315
MS,2002,0.14,0.539,0.3395,0.3395
MS,2003,0.14,0.56,0.35,0.35
MS,2004,0.267,0.542,0.4045,0.4045
MS,2005,0.257,0.544,0.4005,0.4005
MS,2006,0.247,0.572,0.4095,0.4095
MS,2007,0.247,0.626,0.4365,0.4365
MS,2008,0.247,0.557,0.402,0.402
MS,2009,0.247,0.557,0.402,0.402
MS,2010,0.247,0.572,0.4095,0.4095
MS,2011,0.247,0.576,0.4115,0.4115
MS,2012,0.476,0.775,0.6255,0.6255
MS,2013,0.53,0.775,0.6525,0.6525
MS,2014,0.53,0.775,0.6525,0.6525
MS,2015,0.53,0.775,0.6525,0.6525
MS,2016,0.53,0.775,0.6525,0.6525
MS,2017,0.53,0.775,0.6525,0.6525
MT,1993,,,,0.7745
MT,1994,,,,0.7745
MT,1995,,,,0.7745
MT,1996,,,,0.7745
MT,1997,0.716,0.833,0.7745,0.7745
MT,1998,0.716,0.833,0.7745,0.7745
MT,1999,0.586,0.785,0.6855,0.6855
MT,2000,0.586,0.785,0.6855,0.6855
MT,2001,0.676,0.703,0.6895,0.6895
MT,2002,0.676,0.703,0.6895,0.6895
MT,2003,0.642,0.644,0.643,0.643
MT,2004,0.642,0.644,0.643,0.643
MT,2005,0.011,-0.341,-0.165,-0.165
MT,2006,0.011,-0.341,-0.165,-0.165
MT,2007,0.051,0.123,0.087,0.087
MT,2008,0.051,0.123,0.087,0.087
MT,2009,,,,0.8105
MT,2010,,,,0.8105
MT,2011,0.867,0.754,0.8105,0.8105
MT,2012,0.867,0.754,0.8105,0.8105
MT,2013,0.808,0.781,0.7945,0.7945
MT,2014,0.808,0.781,0.7945,0.7945
MT,2015,0.808,0.781,0.7945,0.7945
MT,2016,0.808,0.781,0.7945,0.7945
MT,2017,0.808,0.781,0.7945,0.7945
NC,1993,,,,-0.0775
NC,1994,,,,-0.0775
NC,1995,0.315,-0.47,-0.0775,-0.0775
NC,1996,0.315,-0.47,-0.0775,-0.0775
NC,1997,0.19,-0.561,-0.1855,-0.1855
NC,1998,0.19,-0.561,-0.1855,-0.1855
NC,1999,-0.093,-0.638,-0.3655,-0.3655
NC,2000,-0.093,-0.638,-0.3655,-0.3655
NC,2001,-0.055,-0.585,-0.32,-0.32
NC,2002,-0.055,-0.585,-0.32,-0.32
NC,2003,0.256,-0.432,-0.088,-0.088
NC,2004,0.256,-0.432,-0.088,-0.088
NC,2005,-0.13,-0.456,-0.293,-0.293
NC,2006,-0.13,-0.456,-0.293,-0.293
NC,2007,-0.212,-0.456,-0.334,-0.334
NC,2008,-0.205,-0.456,-0.3305,-0.3305
NC,2009,-0.205,-0.47,-0.3375,-0.3375
NC,2010,-0.211,-0.435,-0.323,-0.323
NC,2011,0.681,0.804,0.7425,0.7425
NC,2012,0.691,0.805,0.748,0.748
NC,2013,0.774,0.872,0.823,0.823
NC,2014,0.777,0.884,0.8305,0.8305
NC,2015,0.777,0.884,0.8305,0.8305
NC,2016,0.777,0.884,0.8305,0.8305
NC,2017,0.777,0.884,0.8305,0.8305
ND,1993,,,,0.664
ND,1994,,,,0.664
ND,1995,,,,0.664
ND,1996,,,,0.664
ND,1997,0.615,0.713,0.664,0.664
ND,1998,0.615,0.713,0.664,0.664
ND,1999,0.549,0.719,0.634,0.634
ND,2000,0.549,0.719,0.634,0.634
ND,2001,0.575,0.713,0.644,0.644
ND,2002,0.575,0.713,0.644,0.644
ND,2003,0.605,0.712,0.6585,0.6585
ND,2004,0.605,0.712,0.6585,0.6585
ND,2005,0.605,0.712,0.6585,0.6585
ND,2006,0.605,0.712,0.6585,0.6585
ND,2007,0.554,0.674,0.614,0.614
ND,2008,0.554,0.674,0.614,0.614
ND,2009,,,,0.6635
ND,2010,,,,0.6635
ND,2011,0.583,0.744,0.6635,0.6635
ND,2012,0.583,0.744,0.6635,0.6635
ND,2013,0.646,0.731,0.6885,0.6885
ND,2014,0.646,0.731,0.6885,0.6885
ND,2015,0.646,0.731,0.6885,0.6885
ND,2016,0.646,0.731,0.6885,0.6885
ND,2017,0.646,0.731,0.6885,0.6885
NE,1993,,,,0.244
NE,1994,,,,0.244
NE,1995,,,,0.244
NE,1996,,0.244,0.244,0.244
NE,1997,,0.293,0.293,0.293
NE,1998,,0.297,0.297,0.297
NE,1999,,0.296,0.296,0.296
NE,2000,,0.293,0.293,0.293
NE,2001,,0.325,0.325,0.325
NE,2002,,0.325,0.325,0.325
NE,2003,,0.395,0.395,0.395
NE,2004,,0.395,0.395,0.395
NE,2005,,0.325,0.325,0.325
NE,2006,,0.325,0.325,0.325
NE,2007,,0.371,0.371,0.371
NE,2008,,0.476,0.476,0.476
NE,2009,,0.585,0.585,0.585
NE,2010,,0.565,0.565,0.565
NE,2011,,0.603,0.603,0.603
NE,2012,,0.594,0.594,0.594
NE,2013,,0.473,0.473,0.473
NE,2014,,0.473,0.473,0.473
NE,2015,,0.473,0.473,0.473
NE,2016,,0.473,0.473,0.473
NE,2017,,0.473,0.473,0.473
NH,1993,,,,0.4795
NH,1994,,,,0.4795
NH,1995,,,,0.4795
NH,1996,0.368,0.591,0.4795,0.4795
NH,1997,0.266,0.318,0.292,0.292
NH,1998,0.267,0.318,0.2925,0.2925
NH,1999,0.206,-0.858,-0.326,-0.326
NH,2000,0.206,-0.421,-0.1075,-0.1075
NH,2001,0.274,0.371,0.3225,0.3225
NH,2002,0.285,0.371,0.328,0.328
NH,2003,0.443,0.631,0.537,0.537
NH,2004,0.436,0.631,0.5335,0.5335
NH,2005,0.367,0.667,0.517,0.517
NH,2006,0.339,0.667,0.503,0.503
NH,2007,-0.595,-0.861,-0.728,-0.728
NH,2008,-0.605,-0.861,-0.733,-0.733
NH,2009,-0.523,-0.861,-0.692,-0.692
NH,2010,-0.511,-0.861,-0.686,-0.686
NH,2011,0.601,0.687,0.644,0.644
NH,2012,0.589,0.682,0.6355,0.6355
NH,2013,-0.48,0.35,-0.065,-0.065
NH,2014,-0.439,0.35,-0.0445,-0.0445
NH,2015,-0.439,0.35,-0.0445,-0.0445
NH,2016,-0.439,0.35,-0.0445,-0.0445
NH,2017,-0.439,0.35,-0.0445,-0.0445
NJ,1993,,,,-0.052
NJ,1994,,,,-0.052
NJ,1995,,,,-0.052
NJ,1996,-0.06,-0.044,-0.052,-0.052
NJ,1997,-0.048,-0.044,-0.046,-0.046
NJ,1998,-0.065,-0.044,-0.0545,-0.0545
NJ,1999,-0.06,-0.044,-0.052,-0.052
NJ,2000,-0.067,-0.044,-0.0555,-0.0555
NJ,2001,-0.066,-0.044,-0.055,-0.055
NJ,2002,-0.771,-0.449,-0.61,-0.61
NJ,2003,-0.662,-0.829,-0.7455,-0.7455
NJ,2004,-0.843,-0.835,-0.839,-0.839
NJ,2005,-0.843,-0.835,-0.839,-0.839
NJ,2006,-0.852,-0.833,-0.8425,-0.8425
NJ,2007,-0.852,-0.833,-0.8425,-0.8425
NJ,2008,-0.913,-0.842,-0.8775,-0.8775
NJ,2009,-0.898,-0.839,-0.8685,-0.8685
NJ,2010,-0.903,-0.835,-0.869,-0.869
NJ,2011,-0.911,-0.836,-0.8735,-0.8735
NJ,2012,-0.92,-0.839,-0.8795,-0.8795
NJ,2013,-0.918,-0.839,-0.8785,-0.8785
NJ,2014,-0.92,-0.842,-0.881,-0.881
NJ,2015,-0.92,-0.842,-0.881,-0.881
NJ,2016,-0.92,-0.842,-0.881,-0.881
NJ,2017,-0.92,-0.842,-0.881,-0.881
NM,1993,,,,-0.6155
NM,1994,,,,-0.6155
NM,1995,,,,-0.6155
NM,1996,-0.672,-0.559,-0.6155,-0.6155
NM,1997,-0.565,-0.541,-0.553,-0.553
NM,1998,-0.565,-0.5,-0.5325,-0.5325
NM,1999,-0.386,-0.541,-0.4635,-0.4635
NM,2000,-0.413,-0.541,-0.477,-0.477
NM,2001,-0.44,-0.466,-0.453,-0.453
NM,2002,-0.34,-0.466,-0.403,-0.403
NM,2003,-0.526,-0.461,-0.4935,-0.4935
NM,2004,-0.526,-0.466,-0.496,-0.496
NM,2005,-0.709,-0.466,-0.5875,-0.5875
NM,2006,-0.709,-0.472,-0.5905,-0.5905
NM,2007,-0.763,-0.472,-0.6175,-0.6175
NM,2008,-0.737,-0.475,-0.606,-0.606
NM,2009,,,,-0.606
NM,2010,,,,-0.606
NM,2011,-0.088,-0.529,-0.3085,-0.3085
NM,2012,-0.272,-0.557,-0.4145,-0.4145
NM,2013,-0.837,-0.529,-0.683,-0.683
NM,2014,-0.44,-0.529,-0.4845,-0.4845
NM,2015,-0.44,-0.529,-0.4845,-0.4845
NM,2016,-0.44,-0.529,-0.4845,-0.4845
NM,2017,-0.44,-0.529,-0.4845,-0.4845
NV,1993,,,,-0.0655
NV,1994,,,,-0.0655
NV,1995,,,,-0.0655
NV,1996,,,,-0.0655
NV,1997,-0.332,0.201,-0.0655,-0.0655
NV,1998,-0.332,0.201,-0.0655,-0.0655
NV,1999,-0.396,0.337,-0.0295,-0.0295
NV,2000,-0.396,0.337,-0.0295,-0.0295
NV,2001,-0.355,0.337,-0.009,-0.009
NV,2002,-0.355,0.337,-0.009,-0.009
NV,2003,-0.392,0.406,0.007,0.007
NV,2004,-0.392,0.406,0.007,0.007
NV,2005,-0.457,0.404,-0.0265,-0.0265
NV,2006,-0.457,0.404,-0.0265,-0.0265
NV,2007,-0.515,0.337,-0.089,-0.089
NV,2008,-0.515,0.337,-0.089,-0.089
NV,2009,-0.545,-0.295,-0.42,-0.42
NV,2010,-0.534,-0.348,-0.441,-0.441
NV,2011,-0.611,-0.264,-0.4375,-0.4375
NV,2012,-0.611,-0.264,-0.4375,-0.4375
NV,2013,-0.643,-0.471,-0.557,-0.557
NV,2014,-0.635,-0.471,-0.553,-0.553
NV,2015,-0.635,-0.471,-0.553,-0.553
NV,2016,-0.635,-0.471,-0.553,-0.553
NV,2017,-0.635,-0.471,-0.553,-0.553
NY,1993,,,,-0.121
NY,1994,,,,-0.121
NY,1995,,-0.121,-0.121,-0.121
NY,1996,-1.032,-0.159,-0.5955,-0.5955
NY,1997,-1.023,-0.183,-0.603,-0.603
NY,1998,-1.023,-0.223,-0.623,-0.623
NY,1999,-1.023,-0.208,-0.6155,-0.6155
NY,2000,-1.032,-0.208,-0.62,-0.62
NY,2001,-0.995,-0.208,-0.6015,-0.6015
NY,2002,-0.993,-0.208,-0.6005,-0.6005
NY,2003,-1.049,-0.183,-0.616,-0.616
NY,2004,-1.049,-0.183,-0.616,-0.616
NY,2005,-1.067,-0.222,-0.6445,-0.6445
NY,2006,-1.049,-0.232,-0.6405,-0.6405
NY,2007,-1.097,-0.232,-0.6645,-0.6645
NY,2008,-1.032,-0.363,-0.6975,-0.6975
NY,2009,-1.128,-0.75,-0.939,-0.939
NY,2010,-1.094,-0.75,-0.922,-0.922
NY,2011,-1.084,-0.232,-0.658,-0.658
NY,2012,-1.051,-0.232,-0.6415,-0.6415
NY,2013,-1.051,-0.542,-0.7965,-0.7965
NY,2014,-1.063,-0.542,-0.8025,-0.8025
NY,2015,-1.063,-0.542,-0.8025,-0.8025
NY,2016,-1.063,-0.542,-0.8025,-0.8025
NY,2017,-1.063,-0.542,-0.8025,-0.8025
OH,1993,,,,-0.121
OH,1994,,,,-0.121
OH,1995,0.423,0.708,0.5655,-0.121
OH,1996,0.423,0.708,0.5655,0.5655
OH,1997,0.504,0.741,0.6225,0.6225
OH,1998,0.504,0.741,0.6225,0.6225
OH,1999,0.508,0.741,0.6245,0.6245
OH,2000,0.508,0.741,0.6245,0.6245
OH,2001,0.598,0.74,0.669,0.669
OH,2002,0.598,0.74,0.669,0.669
OH,2003,0.729,0.741,0.735,0.735
OH,2004,0.729,0.741,0.735,0.735
OH,2005,0.698,0.739,0.7185,0.7185
OH,2006,0.698,0.739,0.7185,0.7185
OH,2007,0.537,0.74,0.6385,0.6385
OH,2008,0.517,0.69,0.6035,0.6035
OH,2009,-0.411,0.624,0.1065,0.1065
OH,2010,-0.411,0.624,0.1065,0.1065
OH,2011,0.729,0.705,0.717,0.717
OH,2012,0.743,0.757,0.75,0.75
OH,2013,0.743,0.723,0.733,0.733
OH,2014,0.751,0.723,0.737,0.737
OH,2015,0.751,0.723,0.737,0.737
OH,2016,0.751,0.723,0.737,0.737
OH,2017,0.751,0.723,0.737,0.737
OK,1993,,,,-0.0095
OK,1994,,,,-0.0095
OK,1995,,,,-0.0095
OK,1996,0.078,-0.097,-0.0095,-0.0095
OK,1997,0.026,-0.082,-0.028,-0.028
OK,1998,0.026,-0.082,-0.028,-0.028
OK,1999,0.021,-0.071,-0.025,-0.025
OK,2000,0.047,-0.082,-0.0175,-0.0175
OK,2001,0.278,-0.02,0.129,0.129
OK,2002,0.274,-0.02,0.127,0.127
OK,2003,0.254,0.109,0.1815,0.1815
OK,2004,0.254,0.109,0.1815,0.1815
OK,2005,0.987,0.122,0.5545,0.5545
OK,2006,0.987,0.158,0.5725,0.5725
OK,2007,1.056,0.828,0.942,0.942
OK,2008,1.056,0.828,0.942,0.942
OK,2009,,,,1.086
OK,2010,1.086,,1.086,1.086
OK,2011,1.145,1.064,1.1045,1.1045
OK,2012,1.143,1.064,1.1035,1.1035
OK,2013,1.169,1.077,1.123,1.123
OK,2014,1.169,1.07,1.1195,1.1195
OK,2015,1.169,1.07,1.1195,1.1195
OK,2016,1.169,1.07,1.1195,1.1195
OK,2017,1.169,1.07,1.1195,1.1195
OR,1993,,,,-0.02
OR,1994,,,,-0.02
OR,1995,,,,-0.02
OR,1996,,,,-0.02
OR,1997,-0.043,0.003,-0.02,-0.02
OR,1998,-0.043,0.003,-0.02,-0.02
OR,1999,0.196,0.028,0.112,0.112
OR,2000,0.196,0.028,0.112,0.112
OR,2001,0.042,-0.168,-0.063,-0.063
OR,2002,0.042,-0.168,-0.063,-0.063
OR,2003,0.183,-0.341,-0.079,-0.079
OR,2004,0.183,-0.341,-0.079,-0.079
OR,2005,0.156,-0.484,-0.164,-0.164
OR,2006,0.156,-0.484,-0.164,-0.164
OR,2007,-0.563,-0.517,-0.54,-0.54
OR,2008,0.042,-0.484,-0.221,-0.221
OR,2009,-0.727,-0.451,-0.589,-0.589
OR,2010,-0.727,-0.451,-0.589,-0.589
OR,2011,-0.201,-0.472,-0.3365,-0.3365
OR,2012,-0.201,-0.472,-0.3365,-0.3365
OR,2013,-0.688,-0.525,-0.6065,-0.6065
OR,2014,-0.688,-0.525,-0.6065,-0.6065
OR,2015,-0.688,-0.525,-0.6065,-0.6065
OR,2016,-0.688,-0.525,-0.6065,-0.6065
OR,2017,-0.688,-0.525,-0.6065,-0.6065
PA,1993,,,,0.1875
PA,1994,,,,0.1875
PA,1995,,,,0.1875
PA,1996,-0.001,0.376,0.1875,0.1875
PA,1997,0.13,0.379,0.2545,0.2545
PA,1998,0.15,0.377,0.2635,0.2635
PA,1999,0.13,0.377,0.2535,0.2535
PA,2000,0.13,0.377,0.2535,0.2535
PA,2001,0.17,0.341,0.2555,0.2555
PA,2002,0.188,0.302,0.245,0.245
PA,2003,0.289,0.302,0.2955,0.2955
PA,2004,0.298,0.302,0.3,0.3
PA,2005,0.298,0.325,0.3115,0.3115
PA,2006,0.289,0.306,0.2975,0.2975
PA,2007,-0.199,0.306,0.0535,0.0535
PA,2008,-0.199,0.306,0.0535,0.0535
PA,2009,-0.333,0.36,0.0135,0.0135
PA,2010,-0.333,0.341,0.004,0.004
PA,2011,0.367,0.36,0.3635,0.3635
PA,2012,0.361,0.379,0.37,0.37
PA,2013,0.364,0.301,0.3325,0.3325
PA,2014,0.367,0.301,0.334,0.334
PA,2015,0.367,0.301,0.334,0.334
PA,2016,0.367,0.301,0.334,0.334
PA,2017,0.367,0.301,0.334,0.334
RI,1993,,,,-0.3875
RI,1994,,,,-0.3875
RI,1995,,,,-0.3875
RI,1996,-0.437,-0.338,-0.3875,-0.3875
RI,1997,-0.466,-0.335,-0.4005,-0.4005
RI,1998,-0.463,-0.335,-0.399,-0.399
RI,1999,-0.474,-0.339,-0.4065,-0.4065
RI,2000,-0.469,-0.347,-0.408,-0.408
RI,2001,-0.469,-0.352,-0.4105,-0.4105
RI,2002,-0.47,-0.347,-0.4085,-0.4085
RI,2003,-0.48,-0.328,-0.404,-0.404
RI,2004,-0.472,-0.322,-0.397,-0.397
RI,2005,-0.489,-0.335,-0.412,-0.412
RI,2006,-0.489,-0.335,-0.412,-0.412
RI,2007,-0.5,-0.385,-0.4425,-0.4425
RI,2008,-0.489,-0.394,-0.4415,-0.4415
RI,2009,-0.494,-0.434,-0.464,-0.464
RI,2010,-0.489,-0.434,-0.4615,-0.4615
RI,2011,-0.466,-0.409,-0.4375,-0.4375
RI,2012,-0.466,-0.409,-0.4375,-0.4375
RI,2013,-0.501,-0.475,-0.488,-0.488
RI,2014,-0.509,-0.475,-0.492,-0.492
RI,2015,-0.509,-0.475,-0.492,-0.492
RI,2016,-0.509,-0.475,-0.492,-0.492
RI,2017,-0.509,-0.475,-0.492,-0.492
SC,1993,0.269,-0.05,0.1095,0.1095
SC,1994,0.269,-0.05,0.1095,0.1095
SC,1995,0.398,-0.02,0.189,0.189
SC,1996,0.538,-0.02,0.259,0.259
SC,1997,0.568,-0.05,0.259,0.259
SC,1998,0.568,-0.02,0.274,0.274
SC,1999,0.562,-0.018,0.272,0.272
SC,2000,0.647,0.044,0.3455,0.3455
SC,2001,0.716,0.32,0.518,0.518
SC,2002,0.719,0.336,0.5275,0.5275
SC,2003,0.73,0.342,0.536,0.536
SC,2004,0.73,0.351,0.5405,0.5405
SC,2005,0.727,0.351,0.539,0.539
SC,2006,0.726,0.351,0.5385,0.5385
SC,2007,0.726,0.36,0.543,0.543
SC,2008,0.73,0.37,0.55,0.55
SC,2009,0.738,0.37,0.554,0.554
SC,2010,0.742,0.37,0.556,0.556
SC,2011,0.762,0.37,0.566,0.566
SC,2012,0.762,0.37,0.566,0.566
SC,2013,0.777,0.465,0.621,0.621
SC,2014,0.777,0.465,0.621,0.621
SC,2015,0.777,0.465,0.621,0.621
SC,2016,0.777,0.465,0.621,0.621
SC,2017,0.777,0.465,0.621,0.621
SD,1993,,,,-0.3875
SD,1994,,,,-0.3875
SD,1995,,,,-0.3875
SD,1996,0.679,0.49,0.5845,-0.3875
SD,1997,0.706,0.671,0.6885,0.6885
SD,1998,0.706,0.683,0.6945,0.6945
SD,1999,0.706,0.719,0.7125,0.7125
SD,2000,0.706,0.719,0.7125,0.7125
SD,2001,0.669,0.708,0.6885,0.6885
SD,2002,0.669,0.708,0.6885,0.6885
SD,2003,0.71,0.708,0.709,0.709
SD,2004,0.71,0.697,0.7035,0.7035
SD,2005,0.682,0.708,0.695,0.695
SD,2006,0.682,0.708,0.695,0.695
SD,2007,0.688,0.618,0.653,0.653
SD,2008,0.688,0.618,0.653,0.653
SD,2009,0.659,0.618,0.6385,0.6385
SD,2010,0.652,0.618,0.635,0.635
SD,2011,0.649,0.684,0.6665,0.6665
SD,2012,0.648,0.689,0.6685,0.6685
SD,2013,0.637,0.678,0.6575,0.6575
SD,2014,0.637,0.678,0.6575,0.6575
SD,2015,0.637,0.678,0.6575,0.6575
SD,2016,0.637,0.678,0.6575,0.6575
SD,2017,0.637,0.678,0.6575,0.6575
TN,1993,,,,0.208
TN,1994,,,,0.208
TN,1995,,,,0.208
TN,1996,-0.075,0.491,0.208,0.208
TN,1997,-0.104,0.027,-0.0385,-0.0385
TN,1998,-0.095,0.027,-0.034,-0.034
TN,1999,-0.077,0.018,-0.0295,-0.0295
TN,2000,-0.077,0.018,-0.0295,-0.0295
TN,2001,-0.087,0.018,-0.0345,-0.0345
TN,2002,-0.077,0.018,-0.0295,-0.0295
TN,2003,-0.032,0.018,-0.007,-0.007
TN,2004,-0.032,0.018,-0.007,-0.007
TN,2005,-0.032,0.372,0.17,0.17
TN,2006,-0.015,0.72,0.3525,0.3525
TN,2007,-0.023,0.187,0.082,0.082
TN,2008,-0.023,0.187,0.082,0.082
TN,2009,,0.735,0.735,0.735
TN,2010,,0.735,0.735,0.735
TN,2011,0.786,0.783,0.7845,0.7845
TN,2012,0.786,0.746,0.766,0.766
TN,2013,0.844,0.966,0.905,0.905
TN,2014,0.855,0.966,0.9105,0.9105
TN,2015,0.855,0.966,0.9105,0.9105
TN,2016,0.855,0.966,0.9105,0.9105
TN,2017,0.855,0.966,0.9105,0.9105
TX,1993,0.057,,0.057,0.057
TX,1994,0.057,,0.057,0.057
TX,1995,0.191,0.467,0.329,0.329
TX,1996,0.191,0.467,0.329,0.329
TX,1997,0.141,0.743,0.442,0.442
TX,1998,0.141,0.743,0.442,0.442
TX,1999,0.191,0.7,0.4455,0.4455
TX,2000,0.191,0.7,0.4455,0.4455
TX,2001,0.191,0.7,0.4455,0.4455
TX,2002,0.191,0.7,0.4455,0.4455
TX,2003,0.879,0.84,0.8595,0.8595
TX,2004,0.879,0.84,0.8595,0.8595
TX,2005,0.851,0.803,0.827,0.827
TX,2006,0.851,0.803,0.827,0.827
TX,2007,0.72,0.845,0.7825,0.7825
TX,2008,0.72,0.845,0.7825,0.7825
TX,2009,0.558,0.803,0.6805,0.6805
TX,2010,0.558,0.803,0.6805,0.6805
TX,2011,1.05,,1.05,1.05
TX,2012,1.05,,1.05,1.05
TX,2013,1.016,,1.016,1.016
TX,2014,1.016,,1.016,1.016
TX,2015,1.016,,1.016,1.016
TX,2016,1.016,,1.016,1.016
TX,2017,1.016,,1.016,1.016
UT,1993,0.586,0.501,0.5435,0.5435
UT,1994,0.586,0.501,0.5435,0.5435
UT,1995,0.632,0.615,0.6235,0.6235
UT,1996,0.611,0.615,0.613,0.613
UT,1997,0.632,0.646,0.639,0.639
UT,1998,0.632,0.646,0.639,0.639
UT,1999,0.664,0.586,0.625,0.625
UT,2000,0.664,0.586,0.625,0.625
UT,2001,0.673,0.766,0.7195,0.7195
UT,2002,0.673,0.766,0.7195,0.7195
UT,2003,0.738,0.716,0.727,0.727
UT,2004,0.744,0.766,0.755,0.755
UT,2005,0.732,0.741,0.7365,0.7365
UT,2006,0.732,0.766,0.749,0.749
UT,2007,0.742,0.766,0.754,0.754
UT,2008,0.742,0.766,0.754,0.754
UT,2009,,,,0.754
UT,2010,,0.801,0.801,0.801
UT,2011,0.742,0.855,0.7985,0.7985
UT,2012,0.743,0.841,0.792,0.792
UT,2013,0.712,0.841,0.7765,0.7765
UT,2014,0.712,0.841,0.7765,0.7765
UT,2015,0.712,0.841,0.7765,0.7765
UT,2016,0.712,0.841,0.7765,0.7765
UT,2017,0.712,0.841,0.7765,0.7765
VA,1993,,,,0.754
VA,1994,,,,0.754
VA,1995,,,,0.754
VA,1996,-0.127,0.074,-0.0265,0.754
VA,1997,-0.168,-0.119,-0.1435,-0.1435
VA,1998,0.007,0.177,0.092,0.092
VA,1999,0.007,0.177,0.092,0.092
VA,2000,0.236,0.286,0.261,0.261
VA,2001,0.023,0.297,0.16,0.16
VA,2002,0.543,0.297,0.42,0.42
VA,2003,0.543,0.388,0.4655,0.4655
VA,2004,0.543,0.422,0.4825,0.4825
VA,2005,0.533,0.422,0.4775,0.4775
VA,2006,0.5,0.388,0.444,0.444
VA,2007,0.516,0.409,0.4625,0.4625
VA,2008,0.49,-0.384,0.053,0.053
VA,2009,,,,0.053
VA,2010,0.55,-0.474,0.038,0.038
VA,2011,0.547,-0.474,0.0365,0.0365
VA,2012,0.619,0.043,0.331,0.331
VA,2013,0.619,-0.323,0.148,0.148
VA,2014,0.617,-0.381,0.118,0.118
VA,2015,0.617,-0.381,0.118,0.118
VA,2016,0.617,-0.381,0.118,0.118
VA,2017,0.617,-0.381,0.118,0.118
VT,1993,,,,-0.273
VT,1994,,,,-0.273
VT,1995,-0.44,-0.106,-0.273,-0.273
VT,1996,-0.44,-0.106,-0.273,-0.273
VT,1997,-0.46,-0.556,-0.508,-0.508
VT,1998,-0.46,-0.556,-0.508,-0.508
VT,1999,-0.241,-0.609,-0.425,-0.425
VT,2000,-0.241,-0.609,-0.425,-0.425
VT,2001,0.156,-0.586,-0.215,-0.215
VT,2002,0.156,-0.586,-0.215,-0.215
VT,2003,-0.11,-0.666,-0.388,-0.388
VT,2004,-0.11,-0.673,-0.3915,-0.3915
VT,2005,-0.615,-0.704,-0.6595,-0.6595
VT,2006,-0.64,-0.736,-0.688,-0.688
VT,2007,-0.724,-0.736,-0.73,-0.73
VT,2008,-0.724,-0.736,-0.73,-0.73
VT,2009,-0.736,-0.736,-0.736,-0.736
VT,2010,-0.735,-0.736,-0.7355,-0.7355
VT,2011,-0.758,-0.736,-0.747,-0.747
VT,2012,-0.762,-0.736,-0.749,-0.749
VT,2013,-0.778,-0.736,-0.757,-0.757
VT,2014,-0.8,-0.823,-0.8115,-0.8115
VT,2015,-0.8,-0.823,-0.8115,-0.8115
VT,2016,-0.8,-0.823,-0.8115,-0.8115
VT,2017,-0.8,-0.823,-0.8115,-0.8115
WA,1993,-0.727,-0.66,-0.6935,-0.6935
WA,1994,-0.727,-0.66,-0.6935,-0.6935
WA,1995,0.688,-0.554,0.067,0.067
WA,1996,0.685,-0.542,0.0715,0.0715
WA,1997,0.609,0.423,0.516,0.516
WA,1998,0.611,0.43,0.5205,0.5205
WA,1999,0.057,-0.639,-0.291,-0.291
WA,2000,-0.151,-0.639,-0.395,-0.395
WA,2001,-0.151,-0.006,-0.0785,-0.0785
WA,2002,-0.395,-0.006,-0.2005,-0.2005
WA,2003,-0.711,0.185,-0.263,-0.263
WA,2004,-0.711,0.185,-0.263,-0.263
WA,2005,-0.782,-0.179,-0.4805,-0.4805
WA,2006,-0.782,-0.542,-0.662,-0.662
WA,2007,-0.827,-0.668,-0.7475,-0.7475
WA,2008,-0.819,-0.668,-0.7435,-0.7435
WA,2009,-0.798,-0.666,-0.732,-0.732
WA,2010,-0.812,-0.666,-0.739,-0.739
WA,2011,-0.833,-0.572,-0.7025,-0.7025
WA,2012,-0.775,-0.542,-0.6585,-0.6585
WA,2013,-0.846,-0.036,-0.441,-0.441
WA,2014,-0.858,-0.036,-0.447,-0.447
WA,2015,-0.858,-0.036,-0.447,-0.447
WA,2016,-0.858,-0.036,-0.447,-0.447
WA,2017,-0.858,-0.036,-0.447,-0.447
WI,1993,,,,0.283
WI,1994,,,,0.283
WI,1995,0.226,0.34,0.283,0.283
WI,1996,0.226,0.34,0.283,0.283
WI,1997,0.487,0.557,0.522,0.522
WI,1998,0.487,0.557,0.522,0.522
WI,1999,0.558,-0.7,-0.071,-0.071
WI,2000,0.558,-0.7,-0.071,-0.071
WI,2001,0.575,-0.717,-0.071,-0.071
WI,2002,0.575,-0.717,-0.071,-0.071
WI,2003,0.579,0.647,0.613,0.613
WI,2004,0.579,0.647,0.613,0.613
WI,2005,0.628,0.647,0.6375,0.6375
WI,2006,0.628,0.647,0.6375,0.6375
WI,2007,0.516,-0.707,-0.0955,-0.0955
WI,2008,0.516,-0.707,-0.0955,-0.0955
WI,2009,-0.794,-0.869,-0.8315,-0.8315
WI,2010,-0.794,-0.869,-0.8315,-0.8315
WI,2011,0.646,0.629,0.6375,0.6375
WI,2012,0.646,0.596,0.621,0.621
WI,2013,0.649,0.629,0.639,0.639
WI,2014,0.646,0.629,0.6375,0.6375
WI,2015,0.646,0.629,0.6375,0.6375
WI,2016,0.646,0.629,0.6375,0.6375
WI,2017,0.646,0.629,0.6375,0.6375
WV,1993,,,,-0.088
WV,1994,,,,-0.088
WV,1995,,,,-0.088
WV,1996,-0.088,,-0.088,-0.088
WV,1997,-0.181,-0.116,-0.1485,-0.1485
WV,1998,-0.181,-0.116,-0.1485,-0.1485
WV,1999,-0.219,-0.171,-0.195,-0.195
WV,2000,-0.218,-0.171,-0.1945,-0.1945
